scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
scrv2_d08_b040,cbap_sba,2,0,0b004101-0b004001-10000-3,0,0,1,0.010005000,0.000000000,0.000000000,0.000000000,2259445819,320000000000,4000000000,317046480964,0,0.000000000,0,687000,0,2259445819,23,1.000000000,1.000000000,0,0
scrv2_d08_b040,cbap_sba,2,1,0b000001-0b004001-10000-3,0,1,64,0.020005000,0.025361481,0.025381429,0.005381429,4194304,5750000000,4201680672,7829852479,0,0.000000000,0,687000,0,4194304,30,1.000000000,0.302748336,0,0
scrv2_d08_b040,cbap_sba,2,2,0b000101-0b004001-10000-3,0,1,64,0.020005000,0.025496587,0.025512297,0.005512297,4194304,5750000000,4000000000,9675592206,0,0.000000000,0,687000,0,4194304,33,1.000000000,0.257420039,0,0
scrv2_d08_b040,cbap_sba,2,3,0b000201-0b004001-10000-3,0,1,64,0.020005000,0.025637306,0.025653113,0.005653113,4194304,5750000000,4000000000,11317022653,0,0.000000000,0,687000,0,4194304,30,1.000000000,0.219445134,0,0
scrv2_d08_b040,cbap_sba,2,4,0b000301-0b004001-10000-3,0,1,64,0.020005000,0.025830876,0.025842993,0.005842993,4194304,5750000000,4000000000,22665254371,0,0.000000000,0,687000,0,4194304,28,1.000000000,0.155256316,0,0
scrv2_d08_b040,cbap_sba,2,5,0b000401-0b004001-10000-3,0,1,64,0.020005000,0.025685058,0.025700001,0.005700001,4194304,5750000000,4000000000,12906595400,0,0.000000000,0,687000,0,4194304,25,1.000000000,0.186406513,0,0
scrv2_d08_b040,cbap_sba,2,6,0b000501-0b004001-10000-3,0,1,64,0.020005000,0.024731464,0.024754357,0.004754357,4194304,5750000000,4000000000,7073164172,0,0.000000000,0,687000,0,4194304,20,1.000000000,0.495951519,0,0
scrv2_d08_b040,cbap_sba,2,7,0b000601-0b004001-10000-3,0,1,64,0.020005000,0.023926204,0.023938403,0.003938403,4194304,5750000000,4000000000,11075311833,0,0.000000000,0,547000,0,4194304,2,1.000000000,0.555954079,0,9
scrv2_d08_b040,cbap_sba,2,8,0b000701-0b004001-10000-3,0,1,64,0.020005000,0.025790912,0.025803094,0.005803094,4194304,5750000000,4000000000,17204561627,0,0.000000000,0,687000,0,4194304,32,1.000000000,0.164087630,0,0
scrv2_d08_b040,cbap_sba,2,9,0b000801-0b004001-10000-3,0,1,64,0.020005000,0.025872806,0.025884874,0.005884874,4194304,5750000000,4000000000,32523165600,0,0.000000000,0,687000,0,4194304,37,1.000000000,0.146831545,0,0
scrv2_d08_b040,cbap_sba,2,10,0b000901-0b004001-10000-3,0,1,64,0.020005000,0.025889477,0.025901545,0.005901545,4194304,5750000000,4000000000,131512284351,0,0.000000000,0,687000,0,4194304,30,1.000000000,0.135352195,0,0
scrv2_d08_b040,cbap_sba,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020005000,0.025587282,0.025603357,0.005603357,4194304,5750000000,4000000000,11134337405,0,0.000000000,0,687000,0,4194304,36,1.000000000,0.229782910,0,0
scrv2_d08_b040,cbap_sba,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020005000,0.025861395,0.025873477,0.005873477,4194304,5750000000,4000000000,27642546845,0,0.000000000,0,687000,0,4194304,25,1.000000000,0.141610709,0,0
scrv2_d08_b040,cbap_sba,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020005000,0.025689713,0.025704717,0.005704717,4194304,5750000000,4000000000,12906595400,0,0.000000000,0,687000,0,4194304,28,1.000000000,0.202149164,0,0
scrv2_d08_b040,cbap_sba,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020005000,0.025530146,0.025544785,0.005544785,4194304,5750000000,4000000000,10836605170,0,0.000000000,0,687000,0,4194304,26,1.000000000,0.233645255,0,0
scrv2_d08_b040,cbap_sba,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020005000,0.025790930,0.025803110,0.005803110,4194304,5750000000,4000000000,17204561627,0,0.000000000,0,687000,0,4194304,25,1.000000000,0.151785378,0,0
scrv2_d08_b040,cbap_sba,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020005000,0.025649279,0.025664745,0.005664745,4194304,5750000000,4000000000,11902603353,0,0.000000000,0,687000,0,4194304,33,1.000000000,0.191470637,0,0
scrv2_d08_b040,cbap_sba,2,17,0b001001-0b004001-10000-3,0,1,64,0.020005000,0.025420395,0.025437133,0.005437133,4194304,5750000000,4000000000,8815861582,0,0.000000000,0,687000,0,4194304,25,1.000000000,0.285107694,0,0
