scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
heff_400g,cbap_sba,2,1,0,64,262144,50000000,100005000,100386984,100000000,100005000,262144
heff_400g,cbap_sba,2,2,1,64,262144,50000000,100005021,100386993,100000000,100005000,262144
heff_400g,cbap_sba,2,3,2,64,262144,50000000,100005043,100387001,100000000,100005000,262144
heff_400g,cbap_sba,2,4,3,64,262144,50000000,100005065,100387010,100000000,100005000,262144
heff_400g,cbap_sba,2,5,4,64,262144,50000000,100005086,100387018,100000000,100005000,262144
heff_400g,cbap_sba,2,7,6,64,262144,50000000,100005130,100387026,100000000,100005000,262144
heff_400g,cbap_sba,2,8,7,64,262144,50000000,100005152,100387035,100000000,100005000,262144
heff_400g,cbap_sba,2,9,8,64,262144,50000000,100005173,100387043,100000000,100005000,262144
heff_400g,cbap_sba,2,10,9,64,262144,50000000,100005195,100387051,100000000,100005000,262144
heff_400g,cbap_sba,2,12,11,64,262144,50000000,100005239,100387059,100000000,100005000,262144
heff_400g,cbap_sba,2,13,12,64,262144,50000000,100005260,100387088,100000000,100005000,262144
heff_400g,cbap_sba,2,14,13,64,262144,50000000,100005282,100387116,100000000,100005000,262144
heff_400g,cbap_sba,2,15,14,64,262144,50000000,100005304,100387124,100000000,100005000,262144
heff_400g,cbap_sba,2,16,15,64,262144,50000000,100005326,100387132,100000000,100005000,262144
heff_400g,cbap_sba,2,18,17,64,262144,50000000,100005369,100387141,100000000,100005000,262144
heff_400g,cbap_sba,2,19,18,64,262144,50000000,100005391,100387150,100000000,100005000,262144
heff_400g,cbap_sba,2,20,19,64,262144,50000000,100005412,100387158,100000000,100005000,262144
heff_400g,cbap_sba,2,22,21,64,262144,50000000,100005456,100387166,100000000,100005000,262144
heff_400g,cbap_sba,2,23,22,64,262144,50000000,100005478,100387175,100000000,100005000,262144
heff_400g,cbap_sba,2,24,23,64,262144,50000000,100005499,100387183,100000000,100005000,262144
heff_400g,cbap_sba,2,26,25,64,262144,50000000,100005543,100387191,100000000,100005000,262144
heff_400g,cbap_sba,2,27,26,64,262144,50000000,100005565,100387199,100000000,100005000,262144
heff_400g,cbap_sba,2,32,31,64,262144,50000000,100005673,100387207,100000000,100005000,262144
heff_400g,cbap_sba,2,30,29,64,262144,50000000,100005630,100387215,100000000,100005000,262144
heff_400g,cbap_sba,2,28,27,64,262144,50000000,100005586,100387223,100000000,100005000,262144
heff_400g,cbap_sba,2,29,28,64,262144,50000000,100005608,100387231,100000000,100005000,262144
heff_400g,cbap_sba,2,34,33,64,262144,50000000,100005717,100387239,100000000,100005000,262144
heff_400g,cbap_sba,2,33,32,64,262144,50000000,100005695,100387247,100000000,100005000,262144
heff_400g,cbap_sba,2,35,34,64,262144,50000000,100005738,100387257,100000000,100005000,262144
heff_400g,cbap_sba,2,36,35,64,262144,50000000,100005760,100387265,100000000,100005000,262144
heff_400g,cbap_sba,2,38,37,64,262144,50000000,100005804,100387313,100000000,100005000,262144
heff_400g,cbap_sba,2,39,38,64,262144,50000000,100005825,100387321,100000000,100005000,262144
heff_400g,cbap_sba,2,41,40,64,262144,50000000,100005869,100387329,100000000,100005000,262144
heff_400g,cbap_sba,2,54,53,64,262144,50000000,100006151,100387337,100000000,100005000,262144
heff_400g,cbap_sba,2,43,42,64,262144,50000000,100005912,100387345,100000000,100005000,262144
heff_400g,cbap_sba,2,49,48,64,262144,50000000,100006043,100387353,100000000,100005000,262144
heff_400g,cbap_sba,2,45,44,64,262144,50000000,100005956,100387361,100000000,100005000,262144
heff_400g,cbap_sba,2,60,59,64,262144,50000000,100006282,100387369,100000000,100005000,262144
heff_400g,cbap_sba,2,57,56,64,262144,50000000,100006217,100387377,100000000,100005000,262144
heff_400g,cbap_sba,2,53,52,64,262144,50000000,100006130,100387386,100000000,100005000,262144
heff_400g,cbap_sba,2,59,58,64,262144,50000000,100006260,100387394,100000000,100005000,262144
heff_400g,cbap_sba,2,61,60,64,262144,50000000,100006304,100387402,100000000,100005000,262144
heff_400g,cbap_sba,2,63,62,64,262144,50000000,100006347,100387410,100000000,100005000,262144
heff_400g,cbap_sba,2,58,57,64,262144,50000000,100006238,100387418,100000000,100005000,262144
heff_400g,cbap_sba,2,42,41,64,262144,50000000,100005891,100387426,100000000,100005000,262144
heff_400g,cbap_sba,2,55,54,64,262144,50000000,100006173,100387434,100000000,100005000,262144
heff_400g,cbap_sba,2,40,39,64,262144,50000000,100005847,100387442,100000000,100005000,262144
heff_400g,cbap_sba,2,64,63,64,262144,50000000,100006369,100387450,100000000,100005000,262144
heff_400g,cbap_sba,2,48,47,64,262144,50000000,100006021,100387458,100000000,100005000,262144
heff_400g,cbap_sba,2,50,49,64,262144,50000000,100006064,100387466,100000000,100005000,262144
heff_400g,cbap_sba,2,56,55,64,262144,50000000,100006195,100387474,100000000,100005000,262144
heff_400g,cbap_sba,2,51,50,64,262144,50000000,100006086,100387482,100000000,100005000,262144
heff_400g,cbap_sba,2,21,20,64,262144,50000000,100005434,100388186,100000000,100005000,262144
heff_400g,cbap_sba,2,47,46,64,262144,50000000,100005999,100388285,100000000,100005000,262144
heff_400g,cbap_sba,2,31,30,64,262144,50000000,100005652,100388378,100000000,100005000,262144
