scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
heff_400g,cbap_sba,2,0,0b004101-0b004001-10000-3,0,0,1,0.010005000,0.000000000,0.000000000,0.000000000,7510451818,320000000000,4000000000,317046480964,0,0.000000000,0,449368,0,7510451818,3,1.000000000,1.000000000,0,0
heff_400g,cbap_sba,2,1,0b000001-0b004001-10000-3,0,1,64,0.100005000,0.100366073,0.100386984,0.000386984,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,2,0b000101-0b004001-10000-3,0,1,64,0.100005000,0.100366177,0.100386993,0.000386993,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,3,0b000201-0b004001-10000-3,0,1,64,0.100005000,0.100366190,0.100387001,0.000387001,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,4,0b000301-0b004001-10000-3,0,1,64,0.100005000,0.100366233,0.100387010,0.000387010,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,5,0b000401-0b004001-10000-3,0,1,64,0.100005000,0.100366287,0.100387018,0.000387018,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,6,0b000501-0b004001-10000-3,0,1,64,0.100005000,0.100375765,0.100388469,0.000388469,262144,5750000000,4000000000,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,7,0b000601-0b004001-10000-3,0,1,64,0.100005000,0.100366302,0.100387026,0.000387026,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,8,0b000701-0b004001-10000-3,0,1,64,0.100005000,0.100366324,0.100387035,0.000387035,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,9,0b000801-0b004001-10000-3,0,1,64,0.100005000,0.100366326,0.100387043,0.000387043,262144,5750000000,4201680672,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.996093750,0,0
heff_400g,cbap_sba,2,10,0b000901-0b004001-10000-3,0,1,64,0.100005000,0.100366341,0.100387051,0.000387051,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,11,0b000a01-0b004001-10000-3,0,1,64,0.100005000,0.100374409,0.100388411,0.000388411,262144,5750000000,4000000000,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,12,0b000b01-0b004001-10000-3,0,1,64,0.100005000,0.100366345,0.100387059,0.000387059,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,13,0b000c01-0b004001-10000-3,0,1,64,0.100005000,0.100366415,0.100387088,0.000387088,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,14,0b000d01-0b004001-10000-3,0,1,64,0.100005000,0.100366437,0.100387116,0.000387116,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,15,0b000e01-0b004001-10000-3,0,1,64,0.100005000,0.100366459,0.100387124,0.000387124,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,16,0b000f01-0b004001-10000-3,0,1,64,0.100005000,0.100366481,0.100387132,0.000387132,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,17,0b001001-0b004001-10000-3,0,1,64,0.100005000,0.100375980,0.100388539,0.000388539,262144,5750000000,4000000000,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,18,0b001101-0b004001-10000-3,0,1,64,0.100005000,0.100366575,0.100387141,0.000387141,262144,5750000000,4201680672,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.996093750,0,0
heff_400g,cbap_sba,2,19,0b001201-0b004001-10000-3,0,1,64,0.100005000,0.100366597,0.100387150,0.000387150,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,20,0b001301-0b004001-10000-3,0,1,64,0.100005000,0.100366609,0.100387158,0.000387158,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,21,0b001401-0b004001-10000-3,0,1,64,0.100005000,0.100372378,0.100388186,0.000388186,262144,5750000000,4000000000,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,22,0b001501-0b004001-10000-3,0,1,64,0.100005000,0.100366674,0.100387166,0.000387166,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,23,0b001601-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387175,0.000387175,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,24,0b001701-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387183,0.000387183,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,25,0b001801-0b004001-10000-3,0,1,64,0.100005000,0.100378999,0.100391035,0.000391035,262144,5750000000,4000000000,164379999999,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,26,0b001901-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387191,0.000387191,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,27,0b001a01-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387199,0.000387199,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,28,0b001b01-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387223,0.000387223,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,29,0b001c01-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387231,0.000387231,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,30,0b001d01-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387215,0.000387215,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,31,0b001e01-0b004001-10000-3,0,1,64,0.100005000,0.100373895,0.100388378,0.000388378,262144,5750000000,4000000000,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,32,0b001f01-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387207,0.000387207,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,33,0b002001-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387247,0.000387247,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,34,0b002101-0b004001-10000-3,0,1,64,0.100005000,0.100366693,0.100387239,0.000387239,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,35,0b002201-0b004001-10000-3,0,1,64,0.100005000,0.100366895,0.100387257,0.000387257,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,36,0b002301-0b004001-10000-3,0,1,64,0.100005000,0.100366917,0.100387265,0.000387265,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
heff_400g,cbap_sba,2,37,0b002401-0b004001-10000-3,0,1,64,0.100005000,0.100377831,0.100389867,0.000389867,262144,5750000000,4000000000,4000000000,0,0.000000000,0,449368,0,262144,1,1.000000000,0.992202759,0,0
heff_400g,cbap_sba,2,38,0b002501-0b004001-10000-3,0,1,64,0.100005000,0.100366961,0.100387313,0.000387313,262144,5750000000,4201680672,4201680672,0,0.000000000,0,449368,0,262144,0,1.000000000,0.946679585,0,0
