scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pf_burst_400g,dcqcn,2,30,29,64,262144,50000000,100000000,100287071,0,100000000,262144
pf_burst_400g,dcqcn,2,4,3,64,262144,50000000,100000000,100287079,0,100000000,262144
pf_burst_400g,dcqcn,2,13,12,64,262144,50000000,100000000,100287087,0,100000000,262144
pf_burst_400g,dcqcn,2,60,59,64,262144,50000000,100000000,100287103,0,100000000,262144
pf_burst_400g,dcqcn,2,10,9,64,262144,50000000,100000000,100287111,0,100000000,262144
pf_burst_400g,dcqcn,2,31,30,64,262144,50000000,100000000,100287119,0,100000000,262144
pf_burst_400g,dcqcn,2,23,22,64,262144,50000000,100000000,100287155,0,100000000,262144
pf_burst_400g,dcqcn,2,43,42,64,262144,50000000,100000000,100287163,0,100000000,262144
pf_burst_400g,dcqcn,2,32,31,64,262144,50000000,100000000,100287179,0,100000000,262144
pf_burst_400g,dcqcn,2,57,56,64,262144,50000000,100000000,100287187,0,100000000,262144
pf_burst_400g,dcqcn,2,34,33,64,262144,50000000,100000000,100287243,0,100000000,262144
pf_burst_400g,dcqcn,2,63,62,64,262144,50000000,100000000,100287251,0,100000000,262144
pf_burst_400g,dcqcn,2,37,36,64,262144,50000000,100000000,100287267,0,100000000,262144
pf_burst_400g,dcqcn,2,52,51,64,262144,50000000,100000000,100287303,0,100000000,262144
pf_burst_400g,dcqcn,2,59,58,64,262144,50000000,100000000,100287359,0,100000000,262144
pf_burst_400g,dcqcn,2,9,8,64,262144,50000000,100000000,100314571,0,100000000,262144
pf_burst_400g,dcqcn,2,15,14,64,262144,50000000,100000000,100314607,0,100000000,262144
pf_burst_400g,dcqcn,2,29,28,64,262144,50000000,100000000,100314663,0,100000000,262144
pf_burst_400g,dcqcn,2,33,32,64,262144,50000000,100000000,100314679,0,100000000,262144
pf_burst_400g,dcqcn,2,39,38,64,262144,50000000,100000000,100314735,0,100000000,262144
pf_burst_400g,dcqcn,2,58,57,64,262144,50000000,100000000,100314771,0,100000000,262144
pf_burst_400g,dcqcn,2,64,63,64,262144,50000000,100000000,100314807,0,100000000,262144
pf_burst_400g,dcqcn,2,45,44,64,262144,50000000,100000000,100342371,0,100000000,262144
pf_burst_400g,dcqcn,2,48,47,64,262144,50000000,100000000,100342447,0,100000000,262144
pf_burst_400g,dcqcn,2,41,40,64,262144,50000000,100000000,100369963,0,100000000,262144
pf_burst_400g,dcqcn,2,42,41,64,262144,50000000,100000000,100370019,0,100000000,262144
pf_burst_400g,dcqcn,2,44,43,64,262144,50000000,100000000,100370055,0,100000000,262144
pf_burst_400g,dcqcn,2,6,5,64,262144,50000000,100000000,100413827,0,100000000,262144
pf_burst_400g,dcqcn,2,19,18,64,262144,50000000,100000000,100413883,0,100000000,262144
pf_burst_400g,dcqcn,2,17,16,64,262144,50000000,100000000,100413899,0,100000000,262144
pf_burst_400g,dcqcn,2,26,25,64,262144,50000000,100000000,100413907,0,100000000,262144
pf_burst_400g,dcqcn,2,25,24,64,262144,50000000,100000000,100413923,0,100000000,262144
pf_burst_400g,dcqcn,2,35,34,64,262144,50000000,100000000,100413931,0,100000000,262144
pf_burst_400g,dcqcn,2,53,52,64,262144,50000000,100000000,100413967,0,100000000,262144
pf_burst_400g,dcqcn,2,38,37,64,262144,50000000,100000000,100413975,0,100000000,262144
pf_burst_400g,dcqcn,2,18,17,64,262144,50000000,100000000,100413991,0,100000000,262144
pf_burst_400g,dcqcn,2,7,6,64,262144,50000000,100000000,100413999,0,100000000,262144
pf_burst_400g,dcqcn,2,27,26,64,262144,50000000,100000000,100414035,0,100000000,262144
pf_burst_400g,dcqcn,2,20,19,64,262144,50000000,100000000,100414043,0,100000000,262144
pf_burst_400g,dcqcn,2,56,55,64,262144,50000000,100000000,100414059,0,100000000,262144
pf_burst_400g,dcqcn,2,28,27,64,262144,50000000,100000000,100414067,0,100000000,262144
pf_burst_400g,dcqcn,2,36,35,64,262144,50000000,100000000,100414083,0,100000000,262144
