scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
scrv2_d08_b040,cbap_sba,2,44,43,64,4194304,20000000,30005934,33540363,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,50,49,64,4194304,20000000,30006064,34065029,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,40,39,64,4194304,20000000,30005847,34452043,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,56,55,64,4194304,20000000,30006195,34453312,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,7,6,64,4194304,20000000,30005130,34471602,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,55,54,64,4194304,20000000,30006173,34529372,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,34,33,64,4194304,20000000,30005717,34688433,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,41,40,64,4194304,20000000,30005869,34838761,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,61,60,64,4194304,20000000,30006304,35053481,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,16,15,64,4194304,20000000,30005326,35060814,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,30,29,64,4194304,20000000,30005630,35159616,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,57,56,64,4194304,20000000,30006217,35171498,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,10,9,64,4194304,20000000,30005195,35210291,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,18,17,64,4194304,20000000,30005369,35274811,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,31,30,64,4194304,20000000,30005652,35359194,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,29,28,64,4194304,20000000,30005608,35376191,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,51,50,64,4194304,20000000,30006086,35378128,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,21,20,64,4194304,20000000,30005434,35418848,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,24,23,64,4194304,20000000,30005499,35453638,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,63,62,64,4194304,20000000,30006347,35499601,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,9,8,64,4194304,20000000,30005173,35537116,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,25,24,64,4194304,20000000,30005521,35551405,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,2,1,64,4194304,20000000,30005021,35559185,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,37,36,64,4194304,20000000,30005782,35615791,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,12,11,64,4194304,20000000,30005239,35643444,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,54,53,64,4194304,20000000,30006151,35653246,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,36,35,64,4194304,20000000,30005760,35664404,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,3,2,64,4194304,20000000,30005043,35684059,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,14,13,64,4194304,20000000,30005282,35708644,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,20,19,64,4194304,20000000,30005412,35710805,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,6,5,64,4194304,20000000,30005108,35715391,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,45,44,64,4194304,20000000,30005956,35718139,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,60,59,64,4194304,20000000,30006282,35722204,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,11,10,64,4194304,20000000,30005217,35730803,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,15,14,64,4194304,20000000,30005304,35737684,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,19,18,64,4194304,20000000,30005391,35738975,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,8,7,64,4194304,20000000,30005152,35744944,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,4,3,64,4194304,20000000,30005065,35747836,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,58,57,64,4194304,20000000,30006238,35766672,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,22,21,64,4194304,20000000,30005456,35773788,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,5,4,64,4194304,20000000,30005086,35779672,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,1,0,64,4194304,20000000,30005000,35784350,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,42,41,64,4194304,20000000,30005891,35785791,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,53,52,64,4194304,20000000,30006130,35789466,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,46,45,64,4194304,20000000,30005978,35789691,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,43,42,64,4194304,20000000,30005912,35793084,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,38,37,64,4194304,20000000,30005804,35806637,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,17,16,64,4194304,20000000,30005347,35827373,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,62,61,64,4194304,20000000,30006325,35832651,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,26,25,64,4194304,20000000,30005543,35844362,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,39,38,64,4194304,20000000,30005825,35846406,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,27,26,64,4194304,20000000,30005565,35853964,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,35,34,64,4194304,20000000,30005738,35854226,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,59,58,64,4194304,20000000,30006260,35863777,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,64,63,64,4194304,20000000,30006369,35870973,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,32,31,64,4194304,20000000,30005673,35872293,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,13,12,64,4194304,20000000,30005260,35873594,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,47,46,64,4194304,20000000,30005999,35874613,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,52,51,64,4194304,20000000,30006108,35875175,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,48,47,64,4194304,20000000,30006021,35881273,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,23,22,64,4194304,20000000,30005478,35882779,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,33,32,64,4194304,20000000,30005695,35883962,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,49,48,64,4194304,20000000,30006043,35888319,30000000,30005000,4194304
scrv2_d08_b040,cbap_sba,2,28,27,64,4194304,20000000,30005586,35889129,30000000,30005000,4194304
