scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
scrv2_d16_b040,cbap_sba,2,0,0b004101-0b004001-10000-3,0,0,1,0.010005000,0.000000000,0.000000000,0.000000000,5027229095,320000000000,4000000000,317046480964,0,0.000000000,0,1579696,0,5027229095,1912,1.000000000,1.000000000,0,0
scrv2_d16_b040,cbap_sba,2,1,0b000001-0b004001-10000-3,0,1,64,0.030005000,0.035704091,0.035739745,0.005739745,4194304,5750000000,4000000000,8232005397,0,0.000000000,0,1579696,0,4194304,149,1.000000000,0.382043729,0,0
scrv2_d16_b040,cbap_sba,2,2,0b000101-0b004001-10000-3,0,1,64,0.030005000,0.035910562,0.035929152,0.005929152,4194304,5750000000,4000000000,12633361413,0,0.000000000,0,1579696,0,4194304,174,1.000000000,0.388315405,0,0
scrv2_d16_b040,cbap_sba,2,3,0b000201-0b004001-10000-3,0,1,64,0.030005000,0.035836832,0.035864912,0.005864912,4194304,5750000000,4000000000,9755298767,0,0.000000000,0,1579696,0,4194304,150,1.000000000,0.334914014,0,0
scrv2_d16_b040,cbap_sba,2,4,0b000301-0b004001-10000-3,0,1,64,0.030005000,0.035938627,0.035950695,0.005950695,4194304,5750000000,4000000000,24074241527,0,0.000000000,0,1579696,0,4194304,174,1.000000000,0.355470088,0,0
scrv2_d16_b040,cbap_sba,2,5,0b000401-0b004001-10000-3,0,1,64,0.030005000,0.035906245,0.035925715,0.005925715,4194304,5750000000,4000000000,12633361413,0,0.000000000,0,1579696,0,4194304,158,1.000000000,0.374172849,0,0
scrv2_d16_b040,cbap_sba,2,6,0b000501-0b004001-10000-3,0,1,64,0.030005000,0.035958298,0.035970366,0.005970366,4194304,5750000000,4000000000,87816027157,0,0.000000000,0,1579696,0,4194304,167,1.000000000,0.322143268,0,0
scrv2_d16_b040,cbap_sba,2,7,0b000601-0b004001-10000-3,0,1,64,0.030005000,0.034208151,0.034224875,0.004224875,4194304,5750000000,4000000000,6763178306,0,0.000000000,0,850536,0,4194304,16,1.000000000,0.414087894,0,0
scrv2_d16_b040,cbap_sba,2,8,0b000701-0b004001-10000-3,0,1,64,0.030005000,0.035807478,0.035837318,0.005837318,4194304,5750000000,4000000000,9371382559,0,0.000000000,0,1579696,0,4194304,176,1.000000000,0.377001664,0,0
scrv2_d16_b040,cbap_sba,2,9,0b000801-0b004001-10000-3,0,1,64,0.030005000,0.035932720,0.035944788,0.005944788,4194304,5750000000,4000000000,17215762686,0,0.000000000,0,1579696,0,4194304,173,1.000000000,0.345301702,0,0
