scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
scrv2_d32_b040,cbap_sba,2,39,0b002601-0b004001-10000-3,38,64,4194304,0.030000000,0.032595777,0.002595777,4194304,1,12926546463.737,0,0
scrv2_d32_b040,cbap_sba,2,41,0b002801-0b004001-10000-3,40,64,4194304,0.030000000,0.034026684,0.004026684,4194304,1,8333018434.027,0,0
scrv2_d32_b040,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,4194304,0.030000000,0.034178909,0.004178909,4194304,1,8029471807.115,0,0
scrv2_d32_b040,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,4194304,0.030000000,0.034224875,0.004224875,4194304,1,7942112370.188,0,0
scrv2_d32_b040,cbap_sba,2,30,0b001d01-0b004001-10000-3,29,64,4194304,0.030000000,0.034625513,0.004625513,4194304,1,7254207695.449,0,0
scrv2_d32_b040,cbap_sba,2,24,0b001701-0b004001-10000-3,23,64,4194304,0.030000000,0.035073791,0.005073791,4194304,1,6613286199.609,0,0
scrv2_d32_b040,cbap_sba,2,53,0b003401-0b004001-10000-3,52,64,4194304,0.030000000,0.035270293,0.005270293,4194304,1,6366710921.006,0,0
scrv2_d32_b040,cbap_sba,2,51,0b003201-0b004001-10000-3,50,64,4194304,0.030000000,0.035326978,0.005326978,4194304,1,6298962000.594,0,0
scrv2_d32_b040,cbap_sba,2,55,0b003601-0b004001-10000-3,54,64,4194304,0.030000000,0.035493513,0.005493513,4194304,1,6108009938.267,0,0
scrv2_d32_b040,cbap_sba,2,40,0b002701-0b004001-10000-3,39,64,4194304,0.030000000,0.035495387,0.005495387,4194304,1,6105927025.704,0,0
scrv2_d32_b040,cbap_sba,2,10,0b000901-0b004001-10000-3,9,64,4194304,0.030000000,0.035542368,0.005542368,4194304,1,6054168903.978,0,0
scrv2_d32_b040,cbap_sba,2,16,0b000f01-0b004001-10000-3,15,64,4194304,0.030000000,0.035632917,0.005632917,4194304,1,5956848290.149,0,0
scrv2_d32_b040,cbap_sba,2,21,0b001401-0b004001-10000-3,20,64,4194304,0.030000000,0.035669257,0.005669257,4194304,1,5918664826.802,0,0
scrv2_d32_b040,cbap_sba,2,11,0b000a01-0b004001-10000-3,10,64,4194304,0.030000000,0.035673763,0.005673763,4194304,1,5913964330.198,0,0
scrv2_d32_b040,cbap_sba,2,38,0b002501-0b004001-10000-3,37,64,4194304,0.030000000,0.035701783,0.005701783,4194304,1,5884901617.617,0,0
scrv2_d32_b040,cbap_sba,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.030000000,0.035703964,0.005703964,4194304,1,5882651433.284,0,0
scrv2_d32_b040,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,4194304,0.030000000,0.035739734,0.005739734,4194304,1,5845990772.395,0,0
scrv2_d32_b040,cbap_sba,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.030000000,0.035754873,0.005754873,4194304,1,5830612074.324,0,0
scrv2_d32_b040,cbap_sba,2,17,0b001001-0b004001-10000-3,16,64,4194304,0.030000000,0.035763543,0.005763543,4194304,1,5821841183.453,0,0
scrv2_d32_b040,cbap_sba,2,62,0b003d01-0b004001-10000-3,61,64,4194304,0.030000000,0.035775749,0.005775749,4194304,1,5809537775.966,0,0
scrv2_d32_b040,cbap_sba,2,57,0b003801-0b004001-10000-3,56,64,4194304,0.030000000,0.035783773,0.005783773,4194304,1,5801478031.728,0,0
scrv2_d32_b040,cbap_sba,2,37,0b002401-0b004001-10000-3,36,64,4194304,0.030000000,0.035819582,0.005819582,4194304,1,5765780428.904,0,0
scrv2_d32_b040,cbap_sba,2,8,0b000701-0b004001-10000-3,7,64,4194304,0.030000000,0.035837290,0.005837290,4194304,1,5748289360.302,0,0
scrv2_d32_b040,cbap_sba,2,19,0b001201-0b004001-10000-3,18,64,4194304,0.030000000,0.035854516,0.005854516,4194304,1,5731375915.618,0,0
scrv2_d32_b040,cbap_sba,2,47,0b002e01-0b004001-10000-3,46,64,4194304,0.030000000,0.035856371,0.005856371,4194304,1,5729560507.693,0,0
scrv2_d32_b040,cbap_sba,2,3,0b000201-0b004001-10000-3,2,64,4194304,0.030000000,0.035864882,0.005864882,4194304,1,5721245883.549,0,0
scrv2_d32_b040,cbap_sba,2,42,0b002901-0b004001-10000-3,41,64,4194304,0.030000000,0.035884720,0.005884720,4194304,1,5701958971.710,0,0
scrv2_d32_b040,cbap_sba,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.030000000,0.035884817,0.005884817,4194304,1,5701864985.776,0,0
scrv2_d32_b040,cbap_sba,2,59,0b003a01-0b004001-10000-3,58,64,4194304,0.030000000,0.035889729,0.005889729,4194304,1,5697109663.280,0,0
scrv2_d32_b040,cbap_sba,2,22,0b001501-0b004001-10000-3,21,64,4194304,0.030000000,0.035896890,0.005896890,4194304,1,5690191270.314,0,0
scrv2_d32_b040,cbap_sba,2,27,0b001a01-0b004001-10000-3,26,64,4194304,0.030000000,0.035907714,0.005907714,4194304,1,5679765811.277,0,0
scrv2_d32_b040,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,4194304,0.030000000,0.035907933,0.005907933,4194304,1,5679555269.161,0,0
scrv2_d32_b040,cbap_sba,2,61,0b003c01-0b004001-10000-3,60,64,4194304,0.030000000,0.035909670,0.005909670,4194304,1,5677885905.643,0,0
scrv2_d32_b040,cbap_sba,2,32,0b001f01-0b004001-10000-3,31,64,4194304,0.030000000,0.035914001,0.005914001,4194304,1,5673727819.796,0,0
scrv2_d32_b040,cbap_sba,2,60,0b003b01-0b004001-10000-3,59,64,4194304,0.030000000,0.035925261,0.005925261,4194304,1,5662945817.914,0,0
scrv2_d32_b040,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.030000000,0.035925682,0.005925682,4194304,1,5662543484.446,0,0
scrv2_d32_b040,cbap_sba,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.030000000,0.035928394,0.005928394,4194304,1,5659953100.283,0,0
