scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pf_burst_10g,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,262144,0.100000000,0.114007458,0.014007458,262144,1,149716815.142,0,0
pf_burst_10g,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,262144,0.100000000,0.114010125,0.014010125,262144,1,149688314.701,0,0
pf_burst_10g,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.100000000,0.114011116,0.014011116,262144,1,149677727.313,0,0
pf_burst_10g,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,262144,0.100000000,0.114012107,0.014012107,262144,1,149667141.423,0,0
pf_burst_10g,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.100000000,0.114014774,0.014014774,262144,1,149638659.888,0,0
pf_burst_10g,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,262144,0.100000000,0.114017441,0.014017441,262144,1,149610189.192,0,0
pf_burst_10g,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.100000000,0.114018432,0.014018432,262144,1,149599612.853,0,0
pf_burst_10g,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.100000000,0.114019423,0.014019423,262144,1,149589038.008,0,0
pf_burst_10g,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,262144,0.100000000,0.114019576,0.014019576,262144,1,149587405.496,0,0
pf_burst_10g,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.100000000,0.114025595,0.014025595,262144,1,149523210.958,0,0
pf_burst_10g,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.100000000,0.114027424,0.014027424,262144,1,149503715.009,0,0
pf_burst_10g,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,262144,0.100000000,0.114027577,0.014027577,262144,1,149502084.359,0,0
pf_burst_10g,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,262144,0.100000000,0.114028568,0.014028568,262144,1,149491523.297,0,0
pf_burst_10g,dcqcn,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.100000000,0.114028721,0.014028721,262144,1,149489892.913,0,0
pf_burst_10g,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.100000000,0.114029712,0.014029712,262144,1,149479333.574,0,0
pf_burst_10g,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,262144,0.100000000,0.114042435,0.014042435,262144,1,149343899.402,0,0
pf_burst_10g,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.100000000,0.114044264,0.014044264,262144,1,149324450.181,0,0
pf_burst_10g,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.100000000,0.114050283,0.014050283,262144,1,149260481.088,0,0
pf_burst_10g,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,262144,0.100000000,0.114051274,0.014051274,262144,1,149249954.132,0,0
pf_burst_10g,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,262144,0.100000000,0.114053103,0.014053103,262144,1,149230529.371,0,0
pf_burst_10g,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,262144,0.100000000,0.114059122,0.014059122,262144,1,149166640.705,0,0
pf_burst_10g,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,262144,0.100000000,0.114059275,0.014059275,262144,1,149165017.400,0,0
pf_burst_10g,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,262144,0.100000000,0.114157474,0.014157474,262144,1,148130379.756,0,0
pf_burst_10g,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,262144,0.100000000,0.114163493,0.014163493,262144,1,148067429.412,0,0
pf_burst_10g,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,262144,0.100000000,0.114232362,0.014232362,262144,1,147350945.683,0,0
pf_burst_10g,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,262144,0.100000000,0.114235867,0.014235867,262144,1,147314666.539,0,0
pf_burst_10g,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,262144,0.100000000,0.114237696,0.014237696,262144,1,147295742.232,0,0
pf_burst_10g,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,262144,0.100000000,0.114246229,0.014246229,262144,1,147207517.161,0,0
