scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pf_burst_400g,dcqcn,2,30,29,64,262144,50000000,100000000,100221668,0,100000000,262144
pf_burst_400g,dcqcn,2,4,3,64,262144,50000000,100000000,100221670,0,100000000,262144
pf_burst_400g,dcqcn,2,13,12,64,262144,50000000,100000000,100221673,0,100000000,262144
pf_burst_400g,dcqcn,2,60,59,64,262144,50000000,100000000,100221677,0,100000000,262144
pf_burst_400g,dcqcn,2,10,9,64,262144,50000000,100000000,100221679,0,100000000,262144
pf_burst_400g,dcqcn,2,31,30,64,262144,50000000,100000000,100221682,0,100000000,262144
pf_burst_400g,dcqcn,2,23,22,64,262144,50000000,100000000,100221686,0,100000000,262144
pf_burst_400g,dcqcn,2,43,42,64,262144,50000000,100000000,100221688,0,100000000,262144
pf_burst_400g,dcqcn,2,32,31,64,262144,50000000,100000000,100221692,0,100000000,262144
pf_burst_400g,dcqcn,2,57,56,64,262144,50000000,100000000,100221694,0,100000000,262144
pf_burst_400g,dcqcn,2,34,33,64,262144,50000000,100000000,100221698,0,100000000,262144
pf_burst_400g,dcqcn,2,63,62,64,262144,50000000,100000000,100221700,0,100000000,262144
pf_burst_400g,dcqcn,2,37,36,64,262144,50000000,100000000,100221704,0,100000000,262144
pf_burst_400g,dcqcn,2,52,51,64,262144,50000000,100000000,100221726,0,100000000,262144
pf_burst_400g,dcqcn,2,59,58,64,262144,50000000,100000000,100221730,0,100000000,262144
pf_burst_400g,dcqcn,2,9,8,64,262144,50000000,100000000,100242593,0,100000000,262144
pf_burst_400g,dcqcn,2,15,14,64,262144,50000000,100000000,100242635,0,100000000,262144
pf_burst_400g,dcqcn,2,29,28,64,262144,50000000,100000000,100242639,0,100000000,262144
pf_burst_400g,dcqcn,2,33,32,64,262144,50000000,100000000,100242643,0,100000000,262144
pf_burst_400g,dcqcn,2,39,38,64,262144,50000000,100000000,100242664,0,100000000,262144
pf_burst_400g,dcqcn,2,58,57,64,262144,50000000,100000000,100242668,0,100000000,262144
pf_burst_400g,dcqcn,2,64,63,64,262144,50000000,100000000,100242672,0,100000000,262144
pf_burst_400g,dcqcn,2,45,44,64,262144,50000000,100000000,100263673,0,100000000,262144
pf_burst_400g,dcqcn,2,48,47,64,262144,50000000,100000000,100263677,0,100000000,262144
pf_burst_400g,dcqcn,2,41,40,64,262144,50000000,100000000,100284640,0,100000000,262144
pf_burst_400g,dcqcn,2,42,41,64,262144,50000000,100000000,100284662,0,100000000,262144
pf_burst_400g,dcqcn,2,44,43,64,262144,50000000,100000000,100284666,0,100000000,262144
pf_burst_400g,dcqcn,2,6,5,64,262144,50000000,100000000,100316049,0,100000000,262144
pf_burst_400g,dcqcn,2,19,18,64,262144,50000000,100000000,100316071,0,100000000,262144
pf_burst_400g,dcqcn,2,17,16,64,262144,50000000,100000000,100316075,0,100000000,262144
pf_burst_400g,dcqcn,2,26,25,64,262144,50000000,100000000,100316077,0,100000000,262144
pf_burst_400g,dcqcn,2,25,24,64,262144,50000000,100000000,100316100,0,100000000,262144
pf_burst_400g,dcqcn,2,35,34,64,262144,50000000,100000000,100316103,0,100000000,262144
pf_burst_400g,dcqcn,2,53,52,64,262144,50000000,100000000,100316107,0,100000000,262144
pf_burst_400g,dcqcn,2,38,37,64,262144,50000000,100000000,100316109,0,100000000,262144
pf_burst_400g,dcqcn,2,18,17,64,262144,50000000,100000000,100316113,0,100000000,262144
pf_burst_400g,dcqcn,2,7,6,64,262144,50000000,100000000,100316115,0,100000000,262144
pf_burst_400g,dcqcn,2,27,26,64,262144,50000000,100000000,100316119,0,100000000,262144
pf_burst_400g,dcqcn,2,20,19,64,262144,50000000,100000000,100316121,0,100000000,262144
pf_burst_400g,dcqcn,2,56,55,64,262144,50000000,100000000,100316125,0,100000000,262144
pf_burst_400g,dcqcn,2,28,27,64,262144,50000000,100000000,100316127,0,100000000,262144
pf_burst_400g,dcqcn,2,36,35,64,262144,50000000,100000000,100316131,0,100000000,262144
pf_burst_400g,dcqcn,2,40,39,64,262144,50000000,100000000,100316135,0,100000000,262144
pf_burst_400g,dcqcn,2,49,48,64,262144,50000000,100000000,100326617,0,100000000,262144
pf_burst_400g,dcqcn,2,50,49,64,262144,50000000,100000000,100326621,0,100000000,262144
pf_burst_400g,dcqcn,2,51,50,64,262144,50000000,100000000,100326642,0,100000000,262144
pf_burst_400g,dcqcn,2,5,4,64,262144,50000000,100000000,100337607,0,100000000,262144
pf_burst_400g,dcqcn,2,11,10,64,262144,50000000,100000000,100337611,0,100000000,262144
pf_burst_400g,dcqcn,2,14,13,64,262144,50000000,100000000,100337615,0,100000000,262144
pf_burst_400g,dcqcn,2,46,45,64,262144,50000000,100000000,100337619,0,100000000,262144
pf_burst_400g,dcqcn,2,54,53,64,262144,50000000,100000000,100337623,0,100000000,262144
pf_burst_400g,dcqcn,2,61,60,64,262144,50000000,100000000,100337627,0,100000000,262144
pf_burst_400g,dcqcn,2,8,7,64,262144,50000000,100000000,100337631,0,100000000,262144
pf_burst_400g,dcqcn,2,12,11,64,262144,50000000,100000000,100337635,0,100000000,262144
pf_burst_400g,dcqcn,2,16,15,64,262144,50000000,100000000,100337639,0,100000000,262144
pf_burst_400g,dcqcn,2,47,46,64,262144,50000000,100000000,100337643,0,100000000,262144
pf_burst_400g,dcqcn,2,55,54,64,262144,50000000,100000000,100337647,0,100000000,262144
pf_burst_400g,dcqcn,2,62,61,64,262144,50000000,100000000,100337651,0,100000000,262144
pf_burst_400g,dcqcn,2,1,0,64,262144,50000000,100000000,100348659,0,100000000,262144
pf_burst_400g,dcqcn,2,21,20,64,262144,50000000,100000000,100348663,0,100000000,262144
pf_burst_400g,dcqcn,2,2,1,64,262144,50000000,100000000,100348667,0,100000000,262144
pf_burst_400g,dcqcn,2,22,21,64,262144,50000000,100000000,100348671,0,100000000,262144
pf_burst_400g,dcqcn,2,3,2,64,262144,50000000,100000000,100348675,0,100000000,262144
pf_burst_400g,dcqcn,2,24,23,64,262144,50000000,100000000,100348679,0,100000000,262144
