scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
heff_200g,cbap_sba,2,1,0,64,262144,50000000,100005000,100727598,100000000,100005000,262144
heff_200g,cbap_sba,2,4,3,64,262144,50000000,100005130,100727613,100000000,100005000,262144
heff_200g,cbap_sba,2,6,5,64,262144,50000000,100005217,100727628,100000000,100005000,262144
heff_200g,cbap_sba,2,5,4,64,262144,50000000,100005173,100727643,100000000,100005000,262144
heff_200g,cbap_sba,2,2,1,64,262144,50000000,100005043,100727658,100000000,100005000,262144
heff_200g,cbap_sba,2,3,2,64,262144,50000000,100005086,100727673,100000000,100005000,262144
heff_200g,cbap_sba,2,7,6,64,262144,50000000,100005260,100727688,100000000,100005000,262144
heff_200g,cbap_sba,2,8,7,64,262144,50000000,100005304,100727703,100000000,100005000,262144
heff_200g,cbap_sba,2,9,8,64,262144,50000000,100005347,100727718,100000000,100005000,262144
heff_200g,cbap_sba,2,10,9,64,262144,50000000,100005391,100727733,100000000,100005000,262144
heff_200g,cbap_sba,2,11,10,64,262144,50000000,100005434,100727748,100000000,100005000,262144
heff_200g,cbap_sba,2,12,11,64,262144,50000000,100005478,100727763,100000000,100005000,262144
heff_200g,cbap_sba,2,13,12,64,262144,50000000,100005521,100727778,100000000,100005000,262144
heff_200g,cbap_sba,2,14,13,64,262144,50000000,100005565,100727793,100000000,100005000,262144
heff_200g,cbap_sba,2,15,14,64,262144,50000000,100005608,100727808,100000000,100005000,262144
heff_200g,cbap_sba,2,16,15,64,262144,50000000,100005652,100727823,100000000,100005000,262144
heff_200g,cbap_sba,2,17,16,64,262144,50000000,100005695,100727838,100000000,100005000,262144
heff_200g,cbap_sba,2,18,17,64,262144,50000000,100005738,100727853,100000000,100005000,262144
heff_200g,cbap_sba,2,19,18,64,262144,50000000,100005782,100727868,100000000,100005000,262144
heff_200g,cbap_sba,2,20,19,64,262144,50000000,100005825,100727883,100000000,100005000,262144
heff_200g,cbap_sba,2,21,20,64,262144,50000000,100005869,100727898,100000000,100005000,262144
heff_200g,cbap_sba,2,22,21,64,262144,50000000,100005912,100727913,100000000,100005000,262144
heff_200g,cbap_sba,2,23,22,64,262144,50000000,100005956,100727956,100000000,100005000,262144
heff_200g,cbap_sba,2,24,23,64,262144,50000000,100005999,100727971,100000000,100005000,262144
