scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pf_burst_10g,dcqcn,2,4,3,64,262144,50000000,100000000,114033459,0,100000000,262144
pf_burst_10g,dcqcn,2,10,9,64,262144,50000000,100000000,114036169,0,100000000,262144
pf_burst_10g,dcqcn,2,13,12,64,262144,50000000,100000000,114037281,0,100000000,262144
pf_burst_10g,dcqcn,2,23,22,64,262144,50000000,100000000,114038393,0,100000000,262144
pf_burst_10g,dcqcn,2,32,31,64,262144,50000000,100000000,114041103,0,100000000,262144
pf_burst_10g,dcqcn,2,34,33,64,262144,50000000,100000000,114043813,0,100000000,262144
pf_burst_10g,dcqcn,2,31,30,64,262144,50000000,100000000,114044925,0,100000000,262144
pf_burst_10g,dcqcn,2,30,29,64,262144,50000000,100000000,114045238,0,100000000,262144
pf_burst_10g,dcqcn,2,37,36,64,262144,50000000,100000000,114046350,0,100000000,262144
pf_burst_10g,dcqcn,2,43,42,64,262144,50000000,100000000,114052256,0,100000000,262144
pf_burst_10g,dcqcn,2,60,59,64,262144,50000000,100000000,114053368,0,100000000,262144
pf_burst_10g,dcqcn,2,52,51,64,262144,50000000,100000000,114054480,0,100000000,262144
pf_burst_10g,dcqcn,2,57,56,64,262144,50000000,100000000,114055592,0,100000000,262144
pf_burst_10g,dcqcn,2,59,58,64,262144,50000000,100000000,114056704,0,100000000,262144
pf_burst_10g,dcqcn,2,63,62,64,262144,50000000,100000000,114057816,0,100000000,262144
pf_burst_10g,dcqcn,2,9,8,64,262144,50000000,100000000,114069315,0,100000000,262144
pf_burst_10g,dcqcn,2,15,14,64,262144,50000000,100000000,114072025,0,100000000,262144
pf_burst_10g,dcqcn,2,29,28,64,262144,50000000,100000000,114077132,0,100000000,262144
pf_burst_10g,dcqcn,2,33,32,64,262144,50000000,100000000,114078244,0,100000000,262144
pf_burst_10g,dcqcn,2,39,38,64,262144,50000000,100000000,114080155,0,100000000,262144
pf_burst_10g,dcqcn,2,58,57,64,262144,50000000,100000000,114086061,0,100000000,262144
pf_burst_10g,dcqcn,2,64,63,64,262144,50000000,100000000,114086374,0,100000000,262144
pf_burst_10g,dcqcn,2,45,44,64,262144,50000000,100000000,114186562,0,100000000,262144
pf_burst_10g,dcqcn,2,48,47,64,262144,50000000,100000000,114194865,0,100000000,262144
pf_burst_10g,dcqcn,2,41,40,64,262144,50000000,100000000,114264691,0,100000000,262144
pf_burst_10g,dcqcn,2,6,5,64,262144,50000000,100000000,114265803,0,100000000,262144
pf_burst_10g,dcqcn,2,42,41,64,262144,50000000,100000000,114266915,0,100000000,262144
pf_burst_10g,dcqcn,2,19,18,64,262144,50000000,100000000,114268027,0,100000000,262144
pf_burst_10g,dcqcn,2,44,43,64,262144,50000000,100000000,114269139,0,100000000,262144
pf_burst_10g,dcqcn,2,26,25,64,262144,50000000,100000000,114270251,0,100000000,262144
pf_burst_10g,dcqcn,2,35,34,64,262144,50000000,100000000,114271363,0,100000000,262144
pf_burst_10g,dcqcn,2,38,37,64,262144,50000000,100000000,114273274,0,100000000,262144
pf_burst_10g,dcqcn,2,7,6,64,262144,50000000,100000000,114275185,0,100000000,262144
pf_burst_10g,dcqcn,2,20,19,64,262144,50000000,100000000,114277096,0,100000000,262144
pf_burst_10g,dcqcn,2,28,27,64,262144,50000000,100000000,114279806,0,100000000,262144
pf_burst_10g,dcqcn,2,36,35,64,262144,50000000,100000000,114281717,0,100000000,262144
pf_burst_10g,dcqcn,2,40,39,64,262144,50000000,100000000,114283628,0,100000000,262144
pf_burst_10g,dcqcn,2,17,16,64,262144,50000000,100000000,114287137,0,100000000,262144
pf_burst_10g,dcqcn,2,25,24,64,262144,50000000,100000000,114288249,0,100000000,262144
pf_burst_10g,dcqcn,2,53,52,64,262144,50000000,100000000,114290959,0,100000000,262144
pf_burst_10g,dcqcn,2,18,17,64,262144,50000000,100000000,114292071,0,100000000,262144
pf_burst_10g,dcqcn,2,27,26,64,262144,50000000,100000000,114293183,0,100000000,262144
pf_burst_10g,dcqcn,2,56,55,64,262144,50000000,100000000,114295893,0,100000000,262144
pf_burst_10g,dcqcn,2,5,4,64,262144,50000000,100000000,114307392,0,100000000,262144
pf_burst_10g,dcqcn,2,11,10,64,262144,50000000,100000000,114308504,0,100000000,262144
pf_burst_10g,dcqcn,2,14,13,64,262144,50000000,100000000,114308817,0,100000000,262144
pf_burst_10g,dcqcn,2,46,45,64,262144,50000000,100000000,114309929,0,100000000,262144
