scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pf_burst_400g,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.100000000,0.100221069,0.000221069,262144,1,9486413744.126,0,0
pf_burst_400g,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,262144,0.100000000,0.100221075,0.000221075,262144,1,9486156281.805,0,0
pf_burst_400g,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.100000000,0.100221082,0.000221082,262144,1,9485855926.760,0,0
pf_burst_400g,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.100000000,0.100221090,0.000221090,262144,1,9485512687.141,0,0
pf_burst_400g,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,262144,0.100000000,0.100221096,0.000221096,262144,1,9485255273.728,0,0
pf_burst_400g,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.100000000,0.100221103,0.000221103,262144,1,9484954975.735,0,0
pf_burst_400g,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,262144,0.100000000,0.100221129,0.000221129,262144,1,9483839749.648,0,0
pf_burst_400g,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.100000000,0.100221136,0.000221136,262144,1,9483539541.278,0,0
pf_burst_400g,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.100000000,0.100221144,0.000221144,262144,1,9483196469.269,0,0
pf_burst_400g,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,262144,0.100000000,0.100221150,0.000221150,262144,1,9482939181.551,0,0
pf_burst_400g,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,262144,0.100000000,0.100221176,0.000221176,262144,1,9481824429.414,0,0
pf_burst_400g,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.100000000,0.100221183,0.000221183,262144,1,9481524348.616,0,0
pf_burst_400g,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,262144,0.100000000,0.100221209,0.000221209,262144,1,9480409929.072,0,0
pf_burst_400g,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,262144,0.100000000,0.100221217,0.000221217,262144,1,9480067083.452,0,0
pf_burst_400g,dcqcn,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.100000000,0.100221261,0.000221261,262144,1,9478181875.703,0,0
pf_burst_400g,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,262144,0.100000000,0.100241960,0.000241960,262144,1,8667349975.203,0,0
pf_burst_400g,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.100000000,0.100241985,0.000241985,262144,1,8666454532.306,0,0
pf_burst_400g,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.100000000,0.100242030,0.000242030,262144,1,8664843201.256,0,0
pf_burst_400g,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,262144,0.100000000,0.100242038,0.000242038,262144,1,8664556805.130,0,0
pf_burst_400g,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,262144,0.100000000,0.100242082,0.000242082,262144,1,8662981964.789,0,0
pf_burst_400g,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,262144,0.100000000,0.100242108,0.000242108,262144,1,8662051646.373,0,0
pf_burst_400g,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,262144,0.100000000,0.100242116,0.000242116,262144,1,8661765434.750,0,0
